Country,Talent,Infrastructure,Operating Environment,Research,Development,Government Strategy,Commercial,Total score,Region,Cluster,Income group,Political regime
United States of America,100.0,94.02,64.56,100.0,100.0,77.39,100.0,90.85,Americas,Power players,High,Liberal democracy
China,16.51,100.0,91.57,71.42,79.97,94.87,44.02,71.19,Asia-Pacific,Power players,Upper middle,Closed autocracy
United Kingdom,39.65,71.43,74.65,36.5,25.03,82.82,18.91,49.86,Europe,Traditional champions,High,Liberal democracy
Canada,31.28,77.05,93.94,30.67,25.78,100.0,14.88,53.37,Americas,Traditional champions,High,Liberal democracy
Israel,35.76,67.58,82.44,32.63,27.96,43.91,27.33,45.37,Middle East,Rising stars,High,Liberal democracy
Singapore,39.38,84.3,43.15,37.67,22.55,79.82,15.07,45.99,Asia-Pacific,Rising stars,High,Electoral democracy
South Korea,14.54,85.23,68.86,26.66,77.25,87.5,5.41,52.21,Asia-Pacific,Rising stars,High,Liberal democracy
The Netherlands,33.83,81.99,88.05,25.54,30.17,62.35,4.97,46.7,Europe,Rising stars,High,Liberal democracy
Germany,27.63,77.22,70.22,35.84,24.79,84.65,8.29,46.95,Europe,Traditional champions,High,Liberal democracy
France,28.32,77.15,80.02,25.48,21.44,91.2,7.65,47.32,Europe,Traditional champions,High,Liberal democracy
Australia,25.43,63.43,61.23,32.63,41.15,82.11,6.72,44.67,Asia-Pacific,Rising stars,High,Liberal democracy
Ireland,29.93,89.5,70.15,16.79,30.85,69.44,3.94,44.37,Europe,Rising stars,High,Liberal democracy
Finland,24.99,71.6,78.76,25.21,18.32,85.99,4.64,44.22,Europe,Rising stars,High,Liberal democracy
Denmark,27.07,74.08,85.39,26.01,8.92,74.23,3.46,42.74,Europe,Rising stars,High,Liberal democracy
Luxembourg,21.66,94.88,66.96,19.39,19.95,66.69,4.68,42.03,Europe,Waking up,High,Liberal democracy
Japan,15.18,84.58,57.53,22.51,34.47,71.96,7.31,41.93,Asia-Pacific,Rising stars,High,Liberal democracy
India,45.27,33.91,77.3,18.92,30.86,58.83,7.39,38.93,Asia-Pacific,Waking up,Lower middle,Electoral autocracy
Switzerland,25.63,78.43,44.14,38.24,23.11,12.18,7.76,32.78,Europe,Rising stars,High,Liberal democracy
Sweden,28.21,75.19,66.77,27.61,17.81,40.35,4.51,37.21,Europe,Waking up,High,Liberal democracy
Hong Kong,17.56,96.11,59.5,31.51,8.63,33.29,5.3,35.99,Asia-Pacific,Waking up,High,Electoral democracy
Spain,17.61,73.32,75.36,18.6,10.87,91.28,3.08,41.45,Europe,Rising stars,High,Liberal democracy
Austria,16.97,64.49,76.3,23.56,17.81,72.14,3.08,39.19,Europe,Waking up,High,Electoral democracy
Estonia,18.74,63.65,88.67,11.75,9.31,72.08,12.51,39.53,Europe,Waking up,High,Liberal democracy
Taiwan,12.34,77.86,56.67,25.71,19.99,55.97,2.53,35.87,Asia-Pacific,Waking up,High,Liberal democracy
Norway,27.61,76.2,36.65,21.18,13.56,59.05,3.95,34.03,Europe,Waking up,High,Liberal democracy
Saudi Arabia,4.49,70.8,100.0,13.63,14.38,91.63,4.73,42.81,Middle East,Waking up,High,Closed autocracy
Belgium,15.17,65.1,64.08,22.15,19.81,63.58,5.31,36.46,Europe,Waking up,High,Liberal democracy
Poland,14.21,70.96,99.56,10.6,9.09,78.14,2.25,40.69,Europe,Waking up,High,Electoral democracy
